time,average_humanPower,D5_humanPower,average_ThrottleOutput,D5_ThrottleOutput,bpm,d5_bpm,frequence
2019-07-26-21-03,100.0,20.0,1.0,0.0,62.0,12.0,0.011235955056179775
2019-07-26-21-19,100.0,20.0,1.0,0.0,62.0,12.0,0.011235955056179775
2019-07-26-21-04,115.0,23.0,1.0,0.0,68.0,14.0,0.02247191011235955
2019-07-29-23-25,117.0,23.0,1.0,0.0,68.0,14.0,0.02247191011235955
2019-08-20-18-20,116.0,23.0,1.0,0.0,69.0,14.0,0.02247191011235955
2019-08-20-18-21,113.0,23.0,1.0,0.0,68.0,14.0,0.02247191011235955
2019-07-26-21-05,61.0,12.0,1.0,0.0,65.0,13.0,0.016853932584269662
2019-07-29-22-30,61.0,12.0,1.0,0.0,63.0,13.0,0.016853932584269662
2019-07-29-23-30,60.0,12.0,1.0,0.0,65.0,13.0,0.016853932584269662
2019-07-26-21-06,64.0,13.0,1.0,0.0,71.0,14.0,0.016853932584269662
2019-07-29-22-47,63.0,13.0,1.0,0.0,70.0,14.0,0.016853932584269662
2019-08-20-18-13,67.0,13.0,1.0,0.0,72.0,14.0,0.016853932584269662
2019-07-26-21-07,58.0,12.0,1.0,0.0,71.0,14.0,0.028089887640449437
2019-07-29-22-32,61.0,12.0,1.0,0.0,72.0,14.0,0.028089887640449437
2019-07-29-22-44,61.0,12.0,1.0,0.0,68.0,14.0,0.028089887640449437
2019-08-20-18-16,59.0,12.0,1.0,0.0,72.0,14.0,0.028089887640449437
2019-08-20-18-34,58.0,12.0,1.0,0.0,69.0,14.0,0.028089887640449437
2019-07-26-21-08,137.0,27.0,1.0,0.0,64.0,13.0,0.028089887640449437
2019-07-26-21-09,137.0,27.0,1.0,0.0,65.0,13.0,0.028089887640449437
2019-07-26-22-16,135.0,27.0,1.0,0.0,65.0,13.0,0.028089887640449437
2019-07-29-23-21,135.0,27.0,1.0,0.0,66.0,13.0,0.028089887640449437
2019-07-29-23-24,135.0,27.0,1.0,0.0,66.0,13.0,0.028089887640449437
2019-07-26-21-10,118.0,24.0,1.0,0.0,64.0,13.0,0.06741573033707865
2019-07-26-21-14,120.0,24.0,1.0,0.0,64.0,13.0,0.06741573033707865
2019-07-26-22-11,121.0,24.0,1.0,0.0,67.0,13.0,0.06741573033707865
2019-07-26-22-11,121.0,24.0,1.0,0.0,67.0,13.0,0.06741573033707865
2019-07-26-22-11,121.0,24.0,1.0,0.0,67.0,13.0,0.06741573033707865
2019-07-26-22-15,120.0,24.0,1.0,0.0,65.0,13.0,0.06741573033707865
2019-07-26-22-15,120.0,24.0,1.0,0.0,65.0,13.0,0.06741573033707865
2019-07-26-22-15,120.0,24.0,1.0,0.0,65.0,13.0,0.06741573033707865
2019-07-26-22-15,120.0,24.0,1.0,0.0,65.0,13.0,0.06741573033707865
2019-07-26-22-21,119.0,24.0,1.0,0.0,63.0,13.0,0.06741573033707865
2019-07-29-22-41,120.0,24.0,1.0,0.0,65.0,13.0,0.06741573033707865
2019-07-29-22-51,119.0,24.0,1.0,0.0,65.0,13.0,0.06741573033707865
2019-07-26-21-11,97.0,19.0,1.0,0.0,65.0,13.0,0.033707865168539325
2019-07-26-22-11,95.0,19.0,1.0,0.0,67.0,13.0,0.033707865168539325
2019-07-26-22-11,95.0,19.0,1.0,0.0,67.0,13.0,0.033707865168539325
2019-07-26-22-11,95.0,19.0,1.0,0.0,67.0,13.0,0.033707865168539325
2019-07-29-22-39,93.0,19.0,1.0,0.0,67.0,13.0,0.033707865168539325
2019-08-20-18-46,93.0,19.0,1.0,0.0,65.0,13.0,0.033707865168539325
2019-07-26-21-12,78.0,16.0,1.0,0.0,66.0,13.0,0.016853932584269662
2019-07-27-23-22,81.0,16.0,1.0,0.0,65.0,13.0,0.016853932584269662
2019-07-27-23-25,82.0,16.0,1.0,0.0,67.0,13.0,0.016853932584269662
2019-07-26-21-13,103.0,21.0,1.0,0.0,65.0,13.0,0.0056179775280898875
2019-07-26-21-15,55.0,11.0,1.0,0.0,59.0,12.0,0.0056179775280898875
2019-07-26-21-16,87.0,17.0,1.0,0.0,70.0,14.0,0.02247191011235955
2019-07-29-22-50,86.0,17.0,1.0,0.0,70.0,14.0,0.02247191011235955
2019-08-20-18-52,87.0,17.0,1.0,0.0,68.0,14.0,0.02247191011235955
2019-08-20-18-53,86.0,17.0,1.0,0.0,70.0,14.0,0.02247191011235955
2019-07-26-21-17,112.0,22.0,1.0,0.0,62.0,12.0,0.0056179775280898875
2019-07-26-21-18,115.0,23.0,1.0,0.0,61.0,12.0,0.0056179775280898875
2019-07-26-22-10,94.0,19.0,1.0,0.0,70.0,14.0,0.03932584269662921
2019-07-26-22-10,94.0,19.0,1.0,0.0,70.0,14.0,0.03932584269662921
2019-07-29-23-00,97.0,19.0,1.0,0.0,68.0,14.0,0.03932584269662921
2019-07-29-23-18,96.0,19.0,1.0,0.0,68.0,14.0,0.03932584269662921
2019-08-20-18-35,93.0,19.0,1.0,0.0,70.0,14.0,0.03932584269662921
2019-08-20-18-54,95.0,19.0,1.0,0.0,69.0,14.0,0.03932584269662921
2019-08-20-18-55,94.0,19.0,1.0,0.0,70.0,14.0,0.03932584269662921
2019-07-26-22-10,143.0,29.0,1.0,0.0,70.0,14.0,0.011235955056179775
2019-07-26-22-10,143.0,29.0,1.0,0.0,70.0,14.0,0.011235955056179775
2019-07-26-22-11,56.0,11.0,1.0,0.0,67.0,13.0,0.02247191011235955
2019-07-26-22-11,56.0,11.0,1.0,0.0,67.0,13.0,0.02247191011235955
2019-07-26-22-11,56.0,11.0,1.0,0.0,67.0,13.0,0.02247191011235955
2019-07-29-22-36,56.0,11.0,1.0,0.0,67.0,13.0,0.02247191011235955
